"","year","gws_km3","gws_km3_6"
"129",2012-09-15,-14.7624142834192,-8.14082379024527
"130",2012-10-15,-4.0027438685247,-6.55622733001354
"131",2012-11-15,-3.24227723774065,-5.49019481901429
"132",2012-12-15,-10.4419120023236,-4.23803271471789
"133",2013-01-15,5.58355321126855,-6.30972608423429
"134",2013-02-15,-6.07537473334614,-6.08205547470682
"135",2013-03-15,-7.2494416576408,-5.9205446741685
"136",2013-04-15,-16.4329040856231,-9.19081454647256
"137",2013-05-15,-1.87625358057578,-9.85289707016001
"138",2013-06-15,-9.47284719909372,-10.1474231527977
"139",2013-07-15,-14.0380660225558,-8.35119089068011
"140",2013-08-15,-10.0478698754708,-11.59182851956
"141",2013-09-15,-9.01659815346684,-11.3830643032407
"142",2013-10-15,-5.65551051291768,-11.3489060326858
"143",2013-11-15,-21.3200793538554,-10.3403620909481
"144",2013-12-15,-8.2202619011779,-10.0068672344667
"145",2014-01-15,-13.8331163992262,-12.2520261650359
"146",2014-02-15,-3.9966062250444,-12.5438866540012
"147",2014-03-15,-7.01562901457883,-12.5860479885447
"148",2014-04-15,-19.1264640963326,-14.7741893897924
"149",2014-05-15,-23.0712422876473,-15.3997680729078
"150",2014-06-15,-8.47322990843895,-17.6472159079093
"151",2014-07-15,-26.9619648067123,-15.7859519859947
"152",2014-08-15,-7.75007832373697,-14.5180274002888
"153",2014-09-15,-20.5003160245877,-13.3272563062374
"154",2014-10-15,-7.95888056484501,-12.9673155623563
"155",2014-11-15,-15.4636947734117,-12.6285286371985
"156",2014-12-15,-1.32860334413061,-10.7506162301853
"157",2015-01-15,-24.8023203434261,-12.1016464164239
"158",2015-02-15,-5.71735677278995,-14.511024815495
"159",2015-03-15,-9.23284158250827,-16.6969253736827
"160",2015-04-15,-16.065061682277,-16.1598076049036
"161",2015-05-15,-29.9199651678379,-17.1960865665753
"162",2015-06-15,-14.4440066932574,-18.1654932184785
"163",2015-07-15,-21.5796137307514,-17.0150443758375
"164",2015-08-15,-11.9350305428198,-15.54025119858
"165",2015-09-15,-15.0492814939276,-14.9576842495353
"166",2015-10-15,-9.16236862643101,-15.0896532918707
"167",2015-11-15,-21.0712061042927,-14.3743707435949
"168",2015-12-15,-10.9486049989892,-13.2414806140406
"169",2016-01-15,-22.3714279847642,-14.7428743814441
"170",2016-02-15,-7.64333525316499,-16.3185859085165
"171",2016-03-15,-8.25194071660154,-18.0134337183422
"172",2016-04-15,-18.170731230852,-17.6446649154413
"173",2016-05-15,-30.5254752667273,-19.5149456333611
"174",2016-06-15,-21.1176918579433,-19.9829680639055
"175",2016-07-15,-20.1588151673585,-18.3658972078663
"176",2016-08-15,-18.8650195606841,-15.5038236048855
"177",2016-09-15,-11.0600752998679,-14.8916137428724
"178",2016-10-15,-8.46830609461647,-13.6065888720339
"179",2016-11-15,-13.3530336488428,-12.3910330747645
"180",2016-12-15,-17.4444326858647,-11.5838318072333
"181",2017-01-15,-12.4486659423275,-12.2803798945171
"182",2017-02-15,-11.5716847770678,-12.8128598326018
"183",2017-03-15,-6.21686769468072,-11.5513099042323
"184",2017-04-15,-12.6475946183189,-11.3124770790011
"185",2017-05-15,-16.5479132773514,-12.5408727970277
"186",2017-06-15,-9.87513311564762,-13.4987353629687
"187",2017-07-15,-11.0156689909404,-12.5482542754694
"188",2017-08-15,-18.9420590852272,-12.0646650071905
"189",2017-09-15,-11.9640430903267,-12.2804068663772
"190",2017-10-15,-6.94470809332287,-12.4509520230611
"191",2017-11-15,-13.6463776676779,-10.8733859265175
"192",2017-12-15,-11.1695842707678,-10.0284946266365
"193",2018-01-15,-12.0389399310441,-10.5469355908565
"194",2018-02-15,-9.47666250596589,-10.287419177083
"195",2018-03-15,-6.89469529104024,-12.2209020170373
"196",2018-04-15,-10.0553538786428,-12.8824020721845
"197",2018-05-15,-12.0892791850375,-12.573215677155
"198",2018-06-15,-22.7704813104936,-12.5072471223894
"199",2018-07-15,-16.007940261927,-12.1325832479979
"200",2018-08-15,-7.62154413578891,-10.9985413532796
"201",2018-09-15,-6.49888396244682,-10.5979432791615
"202",2018-10-15,-7.80737063229363,-9.95729797341008
"203",2018-11-15,-5.28502781672779,-9.7896917931604
"204",2018-12-15,-20.366892865785,-9.77631449410826
"205",2019-01-15,-12.1640684274184,-11.2010861811925
"206",2019-02-15,-6.61590705429081,-11.8337678845897
"207",2019-03-15,-6.41862016813397,-12.9846105913122
"208",2019-04-15,-16.3560007547993,-14.2662664998444
"209",2019-05-15,-9.08111803711079,-16.6104559415696
"210",2019-06-15,-27.2719491061197,-17.8011907549111
"211",2019-07-15,-19.8540038786117,-16.6618804593747
"212",2019-08-15,-20.6810437046419,-16.033720144683
"213",2019-09-15,-13.5630290481831,-12.9261338676202
"214",2019-10-15,-9.52013898158099,NA
"215",2019-11-15,-5.31215614896063,NA
"216",2019-12-15,-8.6264314437429,NA
